id,hora,tipo,boca,TBA,IMO,amarracao,fundeio_barra,navio_id,manobra,data,LOA,calado,DWT,rebocadores,indicativo,situacao,navio
23,07:00:00,FC,32.3,39906,9478494,,2025-08-10 08:12:00,9478494,EF: ,2025-08-12,260.66,0.0,50595, ,5LNG7,PREVISTA,Navio: NAVIOS DOMINO Bandeira: LIBERIA IMO: 9478494
24,07:00:00,CG,32.26,39128,1047483,,2025-07-26 03:36:00,1047483,EF: ,2025-08-12,199.9,0.0,61419, ,VRWQ7,PREVISTA,"Navio: PACIFIC PROVIDENCE Bandeira: HONG KONG, CHINA IMO: 1047483"
25,07:00:00,GR,32.32,36347,9726566,,2025-07-29 09:36:00,9726566,EF: ,2025-08-12,199.99,0.0,63456, ,CQNF,PREVISTA,Navio: ATALANTA Bandeira: PORTUGAL (MAR) IMO: 9726566
26,07:00:00,TQ,32.23,29124,9458858,,,9458858,EF: ,2025-08-12,183.0,0.0,45479, ,V7FU4,PREVISTA,Navio: UACC SHAMIYA Bandeira: MARSHALL ISLANDS IMO: 9458858
27,07:00:00,GR,27.03,17431,9228227,,,9228227,EF: ,2025-08-12,170.0,0.0,28494, ,SVDY4,PREVISTA,Navio: SEA MOON Bandeira: GREECE IMO: 9228227
28,11:00:00,TQ,32.23,29514,9934905,,,9934905,EA: PCAT EXT QB,2025-08-12,183.06,0.0,49990, ,SVDP4,PREVISTA,Navio: MERONAS Bandeira: GREECE IMO: 9934905
29,13:00:00,GR,32.29,43004,9582465,,2025-07-31 08:35:00,9582465,EF: ,2025-08-12,228.99,0.0,82158, ,9V9746,PREVISTA,Navio: PAN CERES Bandeira: SINGAPORE IMO: 9582465
30,13:00:00,TQ,27.45,23676,9714068,,,9714068,EF: ,2025-08-12,184.0,0.0,38506, ,V7GV9,PREVISTA,Navio: HAFNIA ALMANDINE Bandeira: MARSHALL ISLANDS IMO: 9714068
31,13:00:00,GR,23.8,20848,9996939,,2025-07-21 10:55:00,9996939,EF: ,2025-08-12,189.98,0.0,32215, ,9HA6128,PREVISTA,Navio: KAMENITZA Bandeira: MALTA IMO: 9996939
32,13:00:00,GR,32.29,43024,9494101,,2025-07-27 13:00:00,9494101,EF: ,2025-08-12,228.99,7.09,82217, ,C6HT2,PREVISTA,Navio: VOSPOROS Bandeira: BAHAMAS IMO: 9494101
33,13:00:00,OH,36.0,45030,1027354,,2025-07-28 17:36:00,1027354,EF: ,2025-08-12,209.99,7.5,73658, ,3E6635,PREVISTA,Navio: GREEN OSHIMA Bandeira: PANAMA IMO: 1027354
34,13:00:00,GR,23.6,17997,9146819,L,2025-07-25 06:59:00,9146819,DS: AZ05 BB,2025-08-12,185.0,0.0,30838,CAM S SV,V4KV6,PREVISTA,Navio: VENUS J Bandeira: ST KITTS & NEVIS IMO: 9146819
35,11:00:00,GR,32.3,36025,9875666,,2025-07-18 07:36:00,9875666,AT: F52/AZ08 BE,2025-08-12,199.9,11.2,63243, ,3EGA9,PREVISTA,Navio: PAN REGINA Bandeira: PANAMA IMO: 9875666
36,06:00:00,GR,32.29,44120,9864679,L,2025-07-11 22:36:00,9864679,MA: AZ08 BE/AZ09 BB,2025-08-12,228.9,11.58,81962,SV W S,3FKA5,PREVISTA,Navio: NAVIOS FELICITY I Bandeira: PANAMA IMO: 9864679
37,14:00:00,GR,30.04,22400,9519169,L,2025-07-19 11:28:00,9519169,AT: F32/AZ0304,2025-08-12,180.4,5.8,35118,CAM SN SV,9HA2626,PREVISTA,Navio: ALLEGRA Bandeira: MALTA IMO: 9519169
38,15:00:00,GR,27.0,17986,9561875,P,,9561875,DS: AZ02 BE,2025-08-12,170.7,0.0,29638,SN W CAM,3FTJ7,PREVISTA,Navio: APOGEE SPIRIT Bandeira: PANAMA IMO: 9561875
39,16:00:00,FC,40.0,71787,9350020,,,9350020,EF: ,2025-08-12,293.18,0.0,72912, ,A8NM6,PREVISTA,Navio: APL NEW JERSEY Bandeira: LIBERIA IMO: 9350020
40,16:00:00,FC,34.88,39106,9612765,,,9612765,EF: ,2025-08-12,223.98,0.0,48044, ,PU8237,PREVISTA,Navio: NC BREDA Bandeira: BRAZIL IMO: 9612765
41,17:00:00,GR,32.3,36291,9735799,,,9735799,EF: ,2025-08-12,199.9,0.0,63437, ,V7ZT3,PREVISTA,Navio: TIAN MU SHAN Bandeira: MARSHALL ISLANDS IMO: 9735799
42,17:00:00,GR,32.3,35812,9665554,,2025-08-10 06:30:00,9665554,EF: ,2025-08-12,199.99,0.0,63500, ,CQ2384,PREVISTA,Navio: SENTINEL Bandeira: PORTUGAL (MAR) IMO: 9665554
43,17:30:00,GR,29.8,23281,9740160,L,2025-08-02 11:00:00,9740160,DS: FOSPAR INT BB,2025-08-12,179.97,0.0,37653,SV W S,3FQD8,PREVISTA,Navio: PEWEE Bandeira: PANAMA IMO: 9740160
44,18:30:00,FC,51.04,146337,9945851,,2025-08-09 10:00:00,9945851,EF: ,2025-08-12,335.94,10.0,144653, ,VRWA4,PREVISTA,"Navio: COSCO SHIPPING URUGUAY Bandeira: HONG KONG, CHINA IMO: 9945851"
45,19:00:00,FC,40.0,77048,9267637,,,9267637,EF: F72,2025-08-12,299.95,9.4,89832, ,D5HF9,PREVISTA,Navio: MSC PEGASUS VII Bandeira: LIBERIA IMO: 9267637
46,19:00:00,GR,32.29,35805,9849502,,2025-08-06 09:30:00,9849502,EF: ,2025-08-12,199.98,0.0,63553, ,V7A2483,PREVISTA,Navio: DESERT GRACE Bandeira: MARSHALL ISLANDS IMO: 9849502
47,19:00:00,GR,32.29,43036,9758430,,2025-08-06 16:18:00,9758430,EF: ,2025-08-12,228.99,6.92,81761, ,3FDU4,PREVISTA,Navio: ARGO WIND Bandeira: PANAMA IMO: 9758430
48,19:00:00,GR,32.29,44397,9865568,L,2025-07-19 21:00:00,9865568,DS: FOSPAR EXT BB,2025-08-12,229.0,0.0,81878,SN CAM S,3FTP5,PREVISTA,Navio: MAJESTIC STAR Bandeira: PANAMA IMO: 9865568
49,20:00:00,FC,48.32,118938,9622215,,,9622215,EF: ,2025-08-12,333.18,0.0,124453, ,OXDI2,PREVISTA,Navio: SAN MARCO MAERSK Bandeira: DENMARK IMO: 9622215
50,05:00:00,GR,30.08,26411,9670781,,,9670781,EF: ,2025-08-13,189.99,0.0,43532, ,D5KL8,PREVISTA,Navio: CETUS OMURA Bandeira: LIBERIA IMO: 9670781
51,05:00:00,TQ,25.0,16084,9731729,O,2025-08-03 09:25:00,9731729,DS: PCAT INT BB,2025-08-13,160.0,7.5,25196,W CAM S,CQTD,PREVISTA,Navio: CHEM SEA 1 Bandeira: PORTUGAL (MAR) IMO: 9731729
52,07:00:00,GR,32.29,34618,9919668,P,2025-08-02 09:12:00,9919668,DS: AZ1011 BE,2025-08-13,199.9,0.0,61105,SV W S,3E2052,PREVISTA,Navio: ST AJISAI Bandeira: PANAMA IMO: 9919668
53,10:00:00,RR,32.26,59493,9442861,,,9442861,EF: ,2025-08-13,199.97,0.0,18930, ,3EPT6,PREVISTA,Navio: FLORIDA HIGHWAY Bandeira: PANAMA IMO: 9442861
54,10:00:00,GR,36.0,49797,9941427,,,9941427,EF: ,2025-08-13,229.9,0.0,85123, ,9V7288,PREVISTA,Navio: YU SHUN Bandeira: SINGAPORE IMO: 9941427
55,12:00:00,OH,32.3,31864,9687095,P,2025-08-03 23:59:00,9687095,DS: PFELIX 2 BB,2025-08-13,189.99,9.0,55978,SV W S,HOGX,PREVISTA,Navio: BIWA ARROW Bandeira: PANAMA IMO: 9687095
56,12:00:00,GR,32.29,44114,9827384,,,9827384,EF: ,2025-08-13,229.0,0.0,82063, ,C6DO2,PREVISTA,Navio: STAR EMERALD Bandeira: BAHAMAS IMO: 9827384
57,12:00:00,TQ,32.23,29712,9524774,L,2025-08-01 06:05:00,9524774,AT: F23/PCAT INT BB,2025-08-13,183.15,9.85,45318,W SV S,LMAJ7,PREVISTA,Navio: TORVANGER Bandeira: NORWAY IMO: 9524774
58,13:00:00,FC,48.2,93702,9732606,,,9732606,EF: ,2025-08-13,300.0,0.0,117366, ,9HA5844,PREVISTA,Navio: CMA CGM YUKON Bandeira: MALTA IMO: 9732606
59,13:00:00,GR,32.31,43518,9858527,,2025-08-04 20:18:00,9858527,EF: ,2025-08-13,229.0,0.0,80681, ,9V6042,PREVISTA,Navio: SOUTHERN HAWK Bandeira: SINGAPORE IMO: 9858527
60,13:00:00,TQ,32.24,29683,9326500,,,9326500,EF: ,2025-08-13,182.9,0.0,51371, ,9HA4912,PREVISTA,Navio: AEGEA Bandeira: MALTA IMO: 9326500
61,13:00:00,GR,28.44,20969,9599016,,2025-07-24 16:06:00,9599016,EF: ,2025-08-13,179.9,0.0,32312, ,D5PJ6,PREVISTA,Navio: NESTOR I Bandeira: LIBERIA IMO: 9599016
62,13:00:00,GR,32.29,39737,9553062,,2025-07-22 12:24:00,9553062,EF: ,2025-08-13,224.94,7.4,76619, ,V7JT8,PREVISTA,Navio: BLUE HORIZON Bandeira: MARSHALL ISLANDS IMO: 9553062
63,13:00:00,GR,28.53,24167,9621869,,2025-07-21 22:45:00,9621869,EF: ,2025-08-13,189.99,10.4,37869, ,VRWG5,PREVISTA,"Navio: WHITE WANDERER Bandeira: HONG KONG, CHINA IMO: 9621869"
64,13:00:00,TQ,32.24,29266,9381756,L,,9381756,DS: P2EXT BB,2025-08-13,183.21,0.0,49999,W W W,V7A2623,PREVISTA,Navio: VELOS AQUARIUS Bandeira: MARSHALL ISLANDS IMO: 9381756
65,17:00:00,FC,45.64,95681,9393022,,,9393022,EF: ,2025-08-13,339.62,0.0,122741, ,3EUT5,PREVISTA,Navio: MSC SHAY Bandeira: PANAMA IMO: 9393022
66,17:00:00,FC,28.44,19122,9813802,,,9813802,EF: ,2025-08-13,172.0,0.0,23261, ,5LMJ7,PREVISTA,Navio: AS SABINE Bandeira: LIBERIA IMO: 9813802
67,17:00:00,GR,32.31,44318,9911771,,,9911771,EF: ,2025-08-13,229.0,0.0,82523, ,V74885,PREVISTA,Navio: FJ AZALEA Bandeira: MARSHALL ISLANDS IMO: 9911771
